property_id,observed_price,fair_value_hat,lower_bound,upper_bound,interval_width,segment_label,data_quality_flag,valuation_gap,anomaly_score,anomaly_flag,top_drivers
123059127,625000.0,,,,,segment_5,ok,,,insufficient_history,"grade, sqft_living, lat"
472000620,790000.0,,,,,segment_2,ok,,,insufficient_history,"grade, sqft_living, lat"
587550340,604000.0,,,,,segment_5,ok,,,insufficient_history,"grade, sqft_living, lat"
776600130,275000.0,,,,,segment_4,ok,,,insufficient_history,"grade, sqft_living, lat"
943100683,335000.0,,,,,segment_4,ok,,,insufficient_history,"grade, sqft_living, lat"
1024069009,675000.0,,,,,segment_5,ok,,,insufficient_history,"grade, sqft_living, lat"
1088800850,612500.0,,,,,segment_5,ok,,,insufficient_history,"grade, sqft_living, lat"
1245003160,698000.0,,,,,segment_2,ok,,,insufficient_history,"grade, sqft_living, lat"
1323089184,452500.0,,,,,segment_4,ok,,,insufficient_history,"grade, sqft_living, lat"
1525079056,284000.0,,,,,segment_3,ok,,,insufficient_history,"grade, sqft_living, lat"
1737320120,470000.0,,,,,segment_3,ok,,,insufficient_history,"grade, sqft_living, lat"
1771000430,315000.0,,,,,segment_1,ok,,,insufficient_history,"grade, sqft_living, lat"
1818800144,750000.0,,,,,segment_2,ok,,,insufficient_history,"grade, sqft_living, lat"
1860600135,2380000.0,,,,,segment_2,suspect,,,insufficient_history,"grade, sqft_living, lat"
1868902745,805000.0,,,,,segment_2,ok,,,insufficient_history,"grade, sqft_living, lat"
1962200037,626000.0,,,,,segment_3,ok,,,insufficient_history,"grade, sqft_living, lat"
1982201345,440000.0,,,,,segment_1,ok,,,insufficient_history,"grade, sqft_living, lat"
1999700045,313000.0,,,,,segment_1,ok,,,insufficient_history,"grade, sqft_living, lat"
2011000010,257950.0,,,,,segment_4,ok,,,insufficient_history,"grade, sqft_living, lat"
2025700730,287200.0,,,,,segment_4,ok,,,insufficient_history,"grade, sqft_living, lat"
2201501015,430000.0,,,,,segment_2,ok,,,insufficient_history,"grade, sqft_living, lat"
2202500290,435000.0,,,,,segment_2,ok,,,insufficient_history,"grade, sqft_living, lat"
2207200675,419000.0,,,,,segment_2,ok,,,insufficient_history,"grade, sqft_living, lat"
2326059099,838000.0,,,,,segment_5,ok,,,insufficient_history,"grade, sqft_living, lat"
2391600950,439950.0,,,,,segment_3,ok,,,insufficient_history,"grade, sqft_living, lat"
2423600100,491500.0,,,,,segment_4,ok,,,insufficient_history,"grade, sqft_living, lat"
2493200195,615000.0,,,,,segment_2,ok,,,insufficient_history,"grade, sqft_living, lat"
2591720070,482000.0,,,,,segment_4,ok,,,insufficient_history,"grade, sqft_living, lat"
2618300080,242500.0,,,,,segment_4,ok,,,insufficient_history,"grade, sqft_living, lat"
2738600140,499950.0,,,,,segment_3,ok,,,insufficient_history,"grade, sqft_living, lat"
2771102144,385000.0,,,,,segment_3,ok,,,insufficient_history,"grade, sqft_living, lat"
3221059036,400000.0,,,,,segment_4,ok,,,insufficient_history,"grade, sqft_living, lat"
3328500250,285000.0,,,,,segment_4,ok,,,insufficient_history,"grade, sqft_living, lat"
3390600010,365000.0,,,,,segment_1,ok,,,insufficient_history,"grade, sqft_living, lat"
3438501320,295000.0,,,,,segment_3,ok,,,insufficient_history,"grade, sqft_living, lat"
3832050580,300000.0,,,,,segment_4,ok,,,insufficient_history,"grade, sqft_living, lat"
3876200060,382500.0,,,,,segment_2,ok,,,insufficient_history,"grade, sqft_living, lat"
4040800810,420000.0,,,,,segment_2,ok,,,insufficient_history,"grade, sqft_living, lat"
4217401055,1400000.0,,,,,segment_2,suspect,,,insufficient_history,"grade, sqft_living, lat"
4219400290,1200000.0,,,,,segment_5,suspect,,,insufficient_history,"grade, sqft_living, lat"
4408100095,308500.0,,,,,segment_1,ok,,,insufficient_history,"grade, sqft_living, lat"
5056500260,440000.0,,,,,segment_3,ok,,,insufficient_history,"grade, sqft_living, lat"
5072200040,403000.0,,,,,segment_2,ok,,,insufficient_history,"grade, sqft_living, lat"
5100401414,490000.0,,,,,segment_1,ok,,,insufficient_history,"grade, sqft_living, lat"
5101405331,495000.0,,,,,segment_3,ok,,,insufficient_history,"grade, sqft_living, lat"
